dll,export,dll-hash,export-hash
kernel32.dll,DeleteFiber,0xd78acaf904a2cf36,0x1234bed21bd992d4
kernel32.dll,DeleteFileA,0xd78acaf904a2cf36,0x11d545d5daacf170
kernel32.dll,DeleteFileTransactedA,0xd78acaf904a2cf36,0xae68008fb688e6b0
kernel32.dll,DeleteFileTransactedW,0xd78acaf904a2cf36,0xae68008e37c96937
kernel32.dll,DeleteFileW,0xd78acaf904a2cf36,0x11d545d756f269f5
kernel32.dll,DeleteProcThreadAttributeList,0xd78acaf904a2cf36,0xa980ba6a3f993c5
kernel32.dll,DeleteSynchronizationBarrier,0xd78acaf904a2cf36,0x792bec638521971
kernel32.dll,DeleteTimerQueue,0xd78acaf904a2cf36,0x4c71e8c0b876be08
kernel32.dll,DeleteTimerQueueEx,0xd78acaf904a2cf36,0x4c1129ee3c6a3a79
kernel32.dll,DeleteTimerQueueTimer,0xd78acaf904a2cf36,0x492556ccb5b0e5de
kernel32.dll,DeleteUmsCompletionList,0xd78acaf904a2cf36,0x8532c627d0205ab3
kernel32.dll,DeleteUmsThreadContext,0xd78acaf904a2cf36,0x70ada20426d39d1f
kernel32.dll,DeleteVolumeMountPointA,0xd78acaf904a2cf36,0x2ab717219711e3b4
kernel32.dll,DeleteVolumeMountPointW,0xd78acaf904a2cf36,0x2ab7171f2c400e1a
kernel32.dll,DequeueUmsCompletionListItems,0xd78acaf904a2cf36,0x4cd771f1a35045d5
kernel32.dll,DeviceIoControl,0xd78acaf904a2cf36,0x7f2ffba7fc278e0e
kernel32.dll,DisableThreadLibraryCalls,0xd78acaf904a2cf36,0xd29f57ea66f0a6d7
kernel32.dll,DisableThreadProfiling,0xd78acaf904a2cf36,0x133c0447325e31b0
kernel32.dll,DisassociateCurrentThreadFromCallback,0xd78acaf904a2cf36,0x343f6d6bf3830131
